,station_id,Review,accessibility and availability_positive,amenities and location_positive,charging speed and efficiency_positive,compatibility and connectivity_positive,customer service_positive,ease of use_positive,payment Options_positive,price and cost_positive,queue and waiting time_positive,reliability and maintenance_positive,safety_positive,user-interface and mobile app_positive,accessibility and availability_negative,amenities and location_negative,charging speed and efficiency_negative,compatibility and connectivity_negative,customer service_negative,ease of use_negative,payment Options_negative,price and cost_negative,queue and waiting time_negative,reliability and maintenance_negative,safety_negative,user-interface and mobile app_negative
1776,847,"Convenient place, fast charge and lots of things to do while you wait.",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1802,856,Charged at 85kW. Only two stations available and it does not appear in the Tesla Navigation.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947,931,"Two out of the three times I've been to this station I've had to call Electrify America to have them push a charge to my car because the payment function wasn't working with a credit card or through the app.  Otherwise it's nice to get quick shopping done at Walmart while the car is charging. The Walmart is a decent Walmart. The chargers at this location are on the side when you park, not in the front.",1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1416,668,Good sheetz and super charger,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6915,3208,"This was our final charging station on our way home from a 2400 mile road trip. This trip has been a breeze. This supercharger station has 8 charging bays with one that allows front/forward drive-in. It's in the lot of a huge Double Tree. I was a bit worried about having to ask hotel personnel for permission restroom access, but my worry was unnecessary. When I entered, I was pleasantly surprised.  The entryway was actually to the hotel, the restaurant entry was to the left through another internal door and the restrooms were clearly marked to the opposite side with their own entries. The restroom was bright and clean. There were also a couple of seating areas within that side of the hotel if you need to wait for someone to finish up in the restroom, before exiting the building. I'm not sure if these doors remain open at night, but it was super convenient during the day.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
983,479,"Nice and convenient, 250kw charger.",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10454,1339,There was only 1 charging station that was useable. The others were offline or had broken connections.  I am a bit disappointed. Most of them are much better.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2623,1254,Chargers work great. Location is odd. It is behind a mall that is pretty run down. Plus the mall closed at 6:00 on a Tuesday night.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4424,2049,Awesome! Super fast electrons and a Hy-Vee nearby.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3987,1850,"5 stars to Tesla for new SC around Collin county, but this is not a good location for a SC in this parking lot. The parking lot is a way too small, so during normal times the parking spaces are taken over by patrons of the strip mall. As I sit here, half the spaces are taken by non-charging cars. Good on Tesla for expanding, just maybe the SC should have been on the side or rear lot where the spaces would not be taken over so readily.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11835,3459,This has 4 stations with 2 connectors each. Only one car per station can be used.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8897,4187,"Free! Plenty of green shady space nearby, just a few blocks from the main street. Did require the SemaConnect app to initiate charging though.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12110,3951,"This place is terrible.  Stopped at the hotel for the night, because they have destination chargers.  The chargers were in the dark…overhead parking lot light burned out.  Neither charger worked.   One had a red light flashing, and the other was completely dead.  Also a junk car parked back there blocking chargers.  267 dollars for the night at the hotel, and it smelled bad.   Don’t stop here!!!   Go to the super charger down the road.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1437,683,Favorite charging station chain and this one was typically excellent.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8245,3854,"Free charger, right near walking/bike path. Parking lot has lots of open spots even on 4th of July",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6151,2857,"Convenient to I-495. There are plenty of open chargers every time I arrive.

The chargers are next to a Panera that allows walk-ins and pit stops. There are other stores in the mall, but most are a bit of a hike. I'm not sure I could walk over, shop, and be back before charging completed.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8573,4014,This location has a pull in stall so you can charge with a trailer on the vehicle.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3793,1768,Great location downtown upto 50kwh free!,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11141,2362,Charging station was unusable called help line said the would have supervisor call back that was 12 hrs ago. Limped back to hotel with less than 5 mile charge. It was an mistake to buy electric car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8865,4168,Nice and quiet place to relax and charge,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,1048,Excellent. Fast chargers. Right off 91. 12 chargers. Also a Hydrogen station across the lot. Future Pride station in front.,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4668,2165,These are the best charging stations.  We just need more!,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5165,2401,Free Tesla and EV charging. Tesla charges at 45 miles/ hour. Walking distance to Holiday Inn and Seafarer Inn.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,207,"Free charging at 6.6kW, two spaces usually one available. Very reliable",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,326,Great place to charge!,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7479,3472,The best charging stations thus far in Wilmington,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3379,1588,Clean area. Feels safe. Highly recommend.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2761,1326,Been using this charger for a while very often. Always works well with our Bolt. Occasionally some stalls are down but most work fine.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5395,2508,It works well but is limited to 50kW,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4046,1878,"Two prime parking spots! Close to The Southern Restaurant, the Coffee Shop, and all your other downtown shopping needs.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
